# Daily JPL Horizons ephemerides, perihelion ±182 days, for the §17.3b comets.
# Ephemerides courtesy of the Jet Propulsion Laboratory, California Institute of
# Technology (US Government work, public domain).
# Positions, delta and RA/Dec are geometric (VEC_CORR='NONE'): no light-time or
# aberration correction, matching what the propagator computes. helio_* is
# ecliptic J2000; ra/dec come from the geocentric ICRF/J2000 equatorial vector.
# tmag is Horizons' own total magnitude, M1 + 5*log10(delta) + k1*log10(r).
# Regenerate with tools/fixtures/fetch-horizons.py — do not edit by hand.
comet,time_utc,helio_x_au,helio_y_au,helio_z_au,r_au,delta_au,ra_deg,dec_deg,tmag
encke,2023-04-23T00:00:00.000Z,2.571657365,0.319064290,0.283307363,2.606815430,3.538341806,11.120651,9.768570,20.217
encke,2023-04-24T00:00:00.000Z,2.562870367,0.323167351,0.283276032,2.598650990,3.525682712,11.454397,9.925804,20.203
encke,2023-04-25T00:00:00.000Z,2.554040178,0.327264984,0.283239918,2.590453329,3.512846575,11.789374,10.083584,20.189
encke,2023-04-26T00:00:00.000Z,2.545166535,0.331357066,0.283198977,2.582222270,3.499835038,12.125594,10.241907,20.174
encke,2023-04-27T00:00:00.000Z,2.536249174,0.335443473,0.283153161,2.573957635,3.486649754,12.463069,10.400772,20.160
encke,2023-04-28T00:00:00.000Z,2.527287826,0.339524080,0.283102426,2.565659241,3.473292385,12.801814,10.560177,20.145
encke,2023-04-29T00:00:00.000Z,2.518282222,0.343598758,0.283046725,2.557326906,3.459764591,13.141844,10.720122,20.130
encke,2023-04-30T00:00:00.000Z,2.509232084,0.347667376,0.282986009,2.548960442,3.446068030,13.483176,10.880608,20.115
encke,2023-05-01T00:00:00.000Z,2.500137135,0.351729802,0.282920231,2.540559664,3.432204357,13.825828,11.041634,20.100
encke,2023-05-02T00:00:00.000Z,2.490997092,0.355785901,0.282849341,2.532124379,3.418175214,14.169820,11.203201,20.085
encke,2023-05-03T00:00:00.000Z,2.481811670,0.359835534,0.282773290,2.523654396,3.403982223,14.515173,11.365312,20.069
encke,2023-05-04T00:00:00.000Z,2.472580579,0.363878562,0.282692027,2.515149520,3.389626977,14.861908,11.527969,20.054
encke,2023-05-05T00:00:00.000Z,2.463303524,0.367914842,0.282605500,2.506609553,3.375111023,15.210050,11.691174,20.038
encke,2023-05-06T00:00:00.000Z,2.453980210,0.371944228,0.282513658,2.498034296,3.360435854,15.559622,11.854931,20.021
encke,2023-05-07T00:00:00.000Z,2.444610333,0.375966573,0.282416446,2.489423546,3.345602894,15.910651,12.019243,20.005
encke,2023-05-08T00:00:00.000Z,2.435193589,0.379981725,0.282313812,2.480777100,3.330613496,16.263161,12.184114,19.988
encke,2023-05-09T00:00:00.000Z,2.425729669,0.383989532,0.282205701,2.472094748,3.315468947,16.617180,12.349549,19.972
encke,2023-05-10T00:00:00.000Z,2.416218257,0.387989836,0.282092056,2.463376282,3.300170484,16.972732,12.515550,19.955
encke,2023-05-11T00:00:00.000Z,2.406659037,0.391982479,0.281972821,2.454621489,3.284719314,17.329842,12.682120,19.938
encke,2023-05-12T00:00:00.000Z,2.397051685,0.395967297,0.281847939,2.445830154,3.269116645,17.688535,12.849262,19.920
encke,2023-05-13T00:00:00.000Z,2.387395875,0.399944126,0.281717351,2.437002058,3.253363712,18.048835,13.016978,19.903
encke,2023-05-14T00:00:00.000Z,2.377691274,0.403912796,0.281580998,2.428136982,3.237461805,18.410765,13.185269,19.885
encke,2023-05-15T00:00:00.000Z,2.367937548,0.407873135,0.281438819,2.419234700,3.221412291,18.774346,13.354135,19.867
encke,2023-05-16T00:00:00.000Z,2.358134355,0.411824969,0.281290753,2.410294988,3.205216633,19.139603,13.523576,19.849
encke,2023-05-17T00:00:00.000Z,2.348281349,0.415768117,0.281136736,2.401317615,3.188876395,19.506557,13.693593,19.830
encke,2023-05-18T00:00:00.000Z,2.338378180,0.419702398,0.280976707,2.392302349,3.172393252,19.875234,13.864185,19.812
encke,2023-05-19T00:00:00.000Z,2.328424493,0.423627627,0.280810600,2.383248954,3.155768980,20.245657,14.035353,19.793
encke,2023-05-20T00:00:00.000Z,2.318419925,0.427543612,0.280638348,2.374157192,3.139005449,20.617855,14.207095,19.774
encke,2023-05-21T00:00:00.000Z,2.308364112,0.431450161,0.280459886,2.365026821,3.122104604,20.991855,14.379413,19.755
encke,2023-05-22T00:00:00.000Z,2.298256683,0.435347077,0.280275145,2.355857596,3.105068449,21.367689,14.552309,19.735
encke,2023-05-23T00:00:00.000Z,2.288097260,0.439234157,0.280084056,2.346649269,3.087899031,21.745389,14.725783,19.716
encke,2023-05-24T00:00:00.000Z,2.277885461,0.443111197,0.279886548,2.337401588,3.070598420,22.124992,14.899840,19.696
encke,2023-05-25T00:00:00.000Z,2.267620899,0.446977986,0.279682550,2.328114299,3.053168703,22.506534,15.074481,19.675
encke,2023-05-26T00:00:00.000Z,2.257303179,0.450834310,0.279471987,2.318787142,3.035611974,22.890055,15.249712,19.655
encke,2023-05-27T00:00:00.000Z,2.246931902,0.454679952,0.279254787,2.309419855,3.017930328,23.275598,15.425537,19.635
encke,2023-05-28T00:00:00.000Z,2.236506663,0.458514686,0.279030873,2.300012174,3.000125859,23.663206,15.601960,19.614
encke,2023-05-29T00:00:00.000Z,2.226027050,0.462338286,0.278800168,2.290563828,2.982200657,24.052926,15.778989,19.593
encke,2023-05-30T00:00:00.000Z,2.215492645,0.466150519,0.278562593,2.281074546,2.964156800,24.444808,15.956628,19.571
encke,2023-05-31T00:00:00.000Z,2.204903022,0.469951147,0.278318069,2.271544049,2.945996354,24.838902,16.134886,19.550
encke,2023-06-01T00:00:00.000Z,2.194257753,0.473739926,0.278066513,2.261972057,2.927721352,25.235263,16.313770,19.528
encke,2023-06-02T00:00:00.000Z,2.183556398,0.477516609,0.277807843,2.252358287,2.909333789,25.633947,16.493289,19.506
encke,2023-06-03T00:00:00.000Z,2.172798513,0.481280942,0.277541974,2.242702448,2.890835603,26.035013,16.673452,19.484
encke,2023-06-04T00:00:00.000Z,2.161983646,0.485032666,0.277268820,2.233004248,2.872228657,26.438523,16.854269,19.461
encke,2023-06-05T00:00:00.000Z,2.151111340,0.488771515,0.276988292,2.223263391,2.853514734,26.844539,17.035749,19.439
encke,2023-06-06T00:00:00.000Z,2.140181128,0.492497219,0.276700301,2.213479574,2.834695539,27.253127,17.217903,19.416
encke,2023-06-07T00:00:00.000Z,2.129192536,0.496209501,0.276404756,2.203652494,2.815772715,27.664350,17.400740,19.392
encke,2023-06-08T00:00:00.000Z,2.118145084,0.499908076,0.276101563,2.193781838,2.796747871,28.078276,17.584270,19.369
encke,2023-06-09T00:00:00.000Z,2.107038282,0.503592656,0.275790627,2.183867293,2.777622617,28.494968,17.768500,19.345
encke,2023-06-10T00:00:00.000Z,2.095871634,0.507262944,0.275471851,2.173908540,2.758398603,28.914494,17.953439,19.321
encke,2023-06-11T00:00:00.000Z,2.084644635,0.510918636,0.275145137,2.163905255,2.739077545,29.336918,18.139092,19.297
encke,2023-06-12T00:00:00.000Z,2.073356771,0.514559422,0.274810382,2.153857109,2.719661250,29.762310,18.325467,19.272
encke,2023-06-13T00:00:00.000Z,2.062007520,0.518184985,0.274467485,2.143763768,2.700151623,30.190738,18.512568,19.247
encke,2023-06-14T00:00:00.000Z,2.050596352,0.521794998,0.274116340,2.133624894,2.680550676,30.622273,18.700402,19.222
encke,2023-06-15T00:00:00.000Z,2.039122728,0.525389129,0.273756840,2.123440143,2.660860522,31.056988,18.888973,19.197
encke,2023-06-16T00:00:00.000Z,2.027586097,0.528967036,0.273388875,2.113209167,2.641083368,31.494963,19.078287,19.171
encke,2023-06-17T00:00:00.000Z,2.015985902,0.532528371,0.273012333,2.102931610,2.621221513,31.936276,19.268349,19.145
encke,2023-06-18T00:00:00.000Z,2.004321575,0.536072775,0.272627100,2.092607114,2.601277327,32.381012,19.459166,19.119
encke,2023-06-19T00:00:00.000Z,1.992592539,0.539599883,0.272233059,2.082235313,2.581253247,32.829261,19.650745,19.093
encke,2023-06-20T00:00:00.000Z,1.980798206,0.543109317,0.271830091,2.071815837,2.561151758,33.281117,19.843091,19.066
encke,2023-06-21T00:00:00.000Z,1.968937977,0.546600693,0.271418074,2.061348308,2.540975387,33.736677,20.036213,19.039
encke,2023-06-22T00:00:00.000Z,1.957011244,0.550073616,0.270996884,2.050832344,2.520726687,34.196045,20.230118,19.012
encke,2023-06-23T00:00:00.000Z,1.945017387,0.553527681,0.270566392,2.040267557,2.500408236,34.659330,20.424815,18.984
encke,2023-06-24T00:00:00.000Z,1.932955777,0.556962474,0.270126470,2.029653552,2.480022628,35.126644,20.620312,18.956
encke,2023-06-25T00:00:00.000Z,1.920825770,0.560377567,0.269676984,2.018989928,2.459572468,35.598108,20.816620,18.928
encke,2023-06-26T00:00:00.000Z,1.908626713,0.563772525,0.269217797,2.008276279,2.439060373,36.073847,21.013747,18.899
encke,2023-06-27T00:00:00.000Z,1.896357940,0.567146898,0.268748771,1.997512189,2.418488966,36.553990,21.211703,18.870
encke,2023-06-28T00:00:00.000Z,1.884018774,0.570500227,0.268269764,1.986697238,2.397860870,37.038676,21.410500,18.841
encke,2023-06-29T00:00:00.000Z,1.871608524,0.573832039,0.267780629,1.975831000,2.377178701,37.528048,21.610147,18.811
encke,2023-06-30T00:00:00.000Z,1.859126486,0.577141848,0.267281217,1.964913039,2.356445056,38.022257,21.810655,18.782
encke,2023-07-01T00:00:00.000Z,1.846571943,0.580429158,0.266771376,1.953942915,2.335662493,38.521460,22.012036,18.751
encke,2023-07-02T00:00:00.000Z,1.833944166,0.583693455,0.266250949,1.942920179,2.314833519,39.025822,22.214301,18.721
encke,2023-07-03T00:00:00.000Z,1.821242409,0.586934213,0.265719777,1.931844373,2.293960576,39.535514,22.417460,18.690
encke,2023-07-04T00:00:00.000Z,1.808465914,0.590150894,0.265177694,1.920715036,2.273046032,40.050713,22.621526,18.659
encke,2023-07-05T00:00:00.000Z,1.795613907,0.593342939,0.264624534,1.909531695,2.252092203,40.571604,22.826506,18.627
encke,2023-07-06T00:00:00.000Z,1.782685600,0.596509779,0.264060124,1.898293870,2.231101378,41.098373,23.032409,18.595
encke,2023-07-07T00:00:00.000Z,1.769680189,0.599650826,0.263484287,1.887001074,2.210075860,41.631212,23.239241,18.563
encke,2023-07-08T00:00:00.000Z,1.756596852,0.602765475,0.262896843,1.875652811,2.189018017,42.170320,23.447005,18.531
encke,2023-07-09T00:00:00.000Z,1.743434754,0.605853104,0.262297606,1.864248577,2.167930313,42.715900,23.655704,18.498
encke,2023-07-10T00:00:00.000Z,1.730193041,0.608913072,0.261686386,1.852787859,2.146815339,43.268160,23.865338,18.464
encke,2023-07-11T00:00:00.000Z,1.716870841,0.611944721,0.261062987,1.841270135,2.125675817,43.827321,24.075903,18.431
encke,2023-07-12T00:00:00.000Z,1.703467267,0.614947372,0.260427210,1.829694874,2.104514609,44.393606,24.287397,18.397
encke,2023-07-13T00:00:00.000Z,1.689981411,0.617920325,0.259778848,1.818061536,2.083334708,44.967255,24.499812,18.362
encke,2023-07-14T00:00:00.000Z,1.676412348,0.620862860,0.259117691,1.806369571,2.062139233,45.548512,24.713142,18.327
